match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5774364202,4861540825,False,1609927179,1995,3442.0,1.0,0,4,42,3,155,"41,55,120,44,20","50,62,40,48,19"
5774364201,4861537712,True,1609927179,1719,3026.0,2.0,7,22,33,6,183,"5,46,8,28,21","121,123,6,18,56"
5774364110,4861538888,True,1609927168,1876,3013.0,1.0,7,3,17,2,225,"106,104,28,114,123","54,26,42,129,46"
5774364005,4861537407,True,1609927163,1707,3254.0,1.0,7,22,33,3,186,"4,93,36,27,70","114,74,25,53,57"
5774363915,4861542569,True,1609927158,2108,1869.0,2.0,7,22,48,3,155,"10,67,31,1,7","100,84,91,63,113"
5774382508,4861536209,True,1609928270,567,4902.0,6.0,7,3,79,8,236,"81,62,31,39,41","95,8,109,129,1"
5774380902,4861534174,True,1609928176,448,,,0,22,25,3,184,"37,18,2,84,21","41,62,13,4,35"
5774380304,4861533616,True,1609928140,474,3978.0,1.0,0,22,54,3,187,"70,123,30,65,50","90,19,42,59,86"
5774378001,4861541478,False,1609928009,1192,,,0,22,27,3,134,"42,93,120,74,52","21,121,77,99,101"
5774376916,4861542219,False,1609927939,1312,2531.0,2.0,0,4,42,5,137,"8,44,30,17,110","59,35,75,32,27"
5774376511,4861538645,True,1609927915,1070,2362.0,3.0,7,22,53,5,188,"30,14,93,29,17","10,11,21,26,68"
5774375502,4861539678,True,1609927840,1247,3593.0,1.0,7,22,32,4,227,"8,61,71,13,85","17,121,104,2,1"
5774375112,4861542081,True,1609927834,1234,,,7,22,23,4,187,"9,41,4,8,84","93,14,123,26,11"
5774374713,4861542732,False,1609927779,1473,,,0,4,36,4,181,"56,35,61,110,67","128,25,63,113,8"
5774373312,4861542075,True,1609927731,1510,3142.0,3.0,7,22,53,9,131,"50,6,23,12,123","95,11,2,26,71"
5774373218,4861539587,True,1609927724,1337,1397.0,1.0,7,22,19,4,137,"42,101,2,84,50","41,96,114,69,86"
5774372916,4861527139,True,1609927709,453,4084.0,2.0,0,22,46,5,145,"17,128,63,27,95","7,85,74,42,11"
5774372710,4861542073,False,1609927694,1528,861.0,1.0,7,22,22,2,151,"49,42,100,76,85","71,2,84,74,79"
5774372605,4861538743,False,1609927689,1322,1607.0,2.0,7,22,30,6,188,"57,81,40,97,123","101,121,47,5,6"
5774372309,4861540793,True,1609927670,1482,2980.0,1.0,7,22,41,4,154,"22,105,32,59,2","114,11,14,67,66"
5774372304,4861540550,False,1609927640,1337,4029.0,4.0,7,22,72,6,181,"102,93,56,87,3","16,123,89,68,11"
5774372016,4861534245,True,1609927649,990,4507.0,4.0,7,22,80,4,154,"32,45,39,110,102","5,126,109,13,97"
5774371519,4861542158,False,1609927600,1621,2586.0,2.0,7,22,32,4,181,"31,35,98,41,128","70,62,25,47,81"
5774371403,4861535332,False,1609927609,1139,,,7,22,12,3,187,"114,83,84,42,11","101,15,75,34,21"
5774370906,4861536728,False,1609927589,1174,4260.0,3.0,7,22,56,7,151,"85,20,54,13,4","52,95,11,37,38"
5774370611,4861536950,False,1609927529,1228,2665.0,5.0,7,22,47,7,184,"16,25,56,45,44","19,70,120,2,74"
5774370509,4861541630,False,1609927554,1591,2752.0,3.0,7,22,62,6,136,"31,123,97,69,67","108,39,63,102,19"
5774370314,4861540714,True,1609927549,1593,4624.0,6.0,7,3,72,8,227,"5,13,114,35,7","98,128,85,110,44"
5774369200,4861533991,True,1609927469,1034,2114.0,3.0,7,22,34,6,182,"11,23,26,44,84","27,70,57,74,87"
5774369119,4861541930,False,1609927474,1706,3618.0,2.0,7,22,59,5,138,"121,45,47,22,42","87,8,81,34,14"
5774369012,4861542824,False,1609927469,1825,466.0,1.0,7,22,19,6,191,"56,42,10,119,44","97,40,113,27,89"
5774369007,4861533500,False,1609927469,1106,3642.0,4.0,7,22,72,8,185,"87,17,27,1,54","80,128,42,2,21"
5774368700,4861534724,False,1609927454,1240,,,7,22,25,3,131,"84,1,100,92,109","104,12,5,34,40"
5774368514,4861541690,True,1609927429,1761,4179.0,3.0,7,22,63,6,187,"93,11,5,28,101","80,2,123,37,95"
5774368402,4861540038,True,1609927429,1651,,,7,22,21,2,251,"109,14,29,119,84","39,105,64,23,1"
5774368212,4861540880,True,1609927414,1716,3935.0,4.0,7,22,74,5,133,"73,6,83,86,120","1,37,13,50,71"
5774367817,4861541718,False,1609927395,1762,2214.0,3.0,7,22,35,4,227,"76,23,35,93,2","75,42,95,39,21"
5774367805,4861541724,True,1609927398,1774,4410.0,2.0,7,22,57,6,231,"44,86,13,71,42","37,54,39,16,21"
5774367802,4861542310,True,1609927398,1875,1950.0,1.0,7,22,31,4,183,"61,35,50,27,70","29,85,8,13,17"
5774367710,4861542644,True,1609927394,1887,3986.0,4.0,7,3,69,8,227,"41,19,21,16,101","93,87,32,3,10"
